24-Sep-2014 12:53:10
Loading and Visualizing Data ...

Initializing Neural Network Parameters ...

Training Neural Network... 
Iteration    1 | Accuracy: 13.10 | Time:    144.7
Iteration  163 | Accuracy: 66.29 | Time: 194734.7
Iteration  164 | Accuracy: 66.63 | Time: 195164.1
Iteration  165 | Accuracy: 66.63 | Time: 197069.7
Iteration  166 | Accuracy: 66.63 | Time: 198617.4
Iteration  167 | Accuracy: 66.63 | Time: 200152.7
Iteration  168 | Accuracy: 66.63 | Time: 202069.3
Iteration  169 | Accuracy: 66.63 | Time: 203607.1
Iteration  170 | Accuracy: 66.63 | Time: 205477.5
Iteration  171 | Accuracy: 66.63 | Time: 207358.4
Iteration  172 | Accuracy: 66.63 | Time: 209340.7
Iteration  173 | Accuracy: 66.63 | Time: 211223.7
Iteration  174 | Accuracy: 66.63 | Time: 212945.9
Iteration  175 | Accuracy: 66.63 | Time: 214485.7
Iteration  176 | Accuracy: 66.63 | Time: 216017.4
Iteration  177 | Accuracy: 66.63 | Time: 217907.1
Iteration  178 | Accuracy: 66.63 | Time: 219436.2
Iteration  179 | Accuracy: 66.68 | Time: 219855.7
Iteration  180 | Accuracy: 66.68 | Time: 221570.1
Iteration  181 | Accuracy: 66.68 | Time: 223096.4
Iteration  182 | Accuracy: 66.68 | Time: 225127.2
Iteration  183 | Accuracy: 66.68 | Time: 227014.1
Iteration  184 | Accuracy: 66.68 | Time: 228875.8
Iteration  185 | Accuracy: 66.68 | Time: 230595.1
Iteration  186 | Accuracy: 66.68 | Time: 232133.7
Iteration  187 | Accuracy: 66.68 | Time: 233665.3
Iteration  188 | Accuracy: 66.68 | Time: 235275.9
Iteration  189 | Accuracy: 66.68 | Time: 237164.9
Iteration  190 | Accuracy: 66.68 | Time: 238692.5
Iteration  191 | Accuracy: 66.68 | Time: 240561.7
Iteration  192 | Accuracy: 66.68 | Time: 242308.6
Iteration  193 | Accuracy: 66.06 | Time: 242557.0
Iteration  194 | Accuracy: 66.20 | Time: 243002.5
Iteration  195 | Accuracy: 66.20 | Time: 244665.5
Iteration  196 | Accuracy: 66.20 | Time: 246249.6
Iteration  197 | Accuracy: 66.20 | Time: 247786.3
Iteration  198 | Accuracy: 66.47 | Time: 248084.5
Iteration  199 | Accuracy: 66.47 | Time: 249622.7
Iteration  200 | Accuracy: 66.47 | Time: 251162.8
Iteration  201 | Accuracy: 66.93 | Time: 251372.5
Iteration  202 | Accuracy: 66.93 | Time: 252972.8
Iteration  203 | Accuracy: 67.22 | Time: 253292.6
Iteration  204 | Accuracy: 67.22 | Time: 254940.1
Iteration  205 | Accuracy: 67.21 | Time: 255512.0
Iteration  206 | Accuracy: 67.21 | Time: 257171.6
Iteration  207 | Accuracy: 67.21 | Time: 258788.0
Iteration  208 | Accuracy: 67.21 | Time: 260487.9
Iteration  209 | Accuracy: 67.21 | Time: 262323.5
Iteration  210 | Accuracy: 67.21 | Time: 263878.6
Iteration  211 | Accuracy: 67.21 | Time: 265409.6
Iteration  212 | Accuracy: 67.21 | Time: 266976.9
Iteration  213 | Accuracy: 67.21 | Time: 268733.2
Iteration  214 | Accuracy: 67.21 | Time: 270433.3
Iteration  215 | Accuracy: 67.21 | Time: 271998.6
Iteration  216 | Accuracy: 66.79 | Time: 272207.7
Iteration  217 | Accuracy: 66.79 | Time: 273772.7
Iteration  218 | Accuracy: 66.79 | Time: 275302.7
Iteration  219 | Accuracy: 66.79 | Time: 277179.9
Iteration  220 | Accuracy: 66.79 | Time: 278705.2
Iteration  221 | Accuracy: 66.79 | Time: 280234.8
Iteration  222 | Accuracy: 66.79 | Time: 281760.1
Iteration  223 | Accuracy: 66.79 | Time: 283299.8
Iteration  224 | Accuracy: 66.79 | Time: 285034.1
Iteration  225 | Accuracy: 66.79 | Time: 286751.5
Iteration  226 | Accuracy: 66.79 | Time: 288278.3
Iteration  227 | Accuracy: 66.79 | Time: 289849.4
Iteration  228 | Accuracy: 66.79 | Time: 291381.9
Iteration  229 | Accuracy: 66.79 | Time: 292909.1
Iteration  230 | Accuracy: 66.79 | Time: 294437.2
Iteration  231 | Accuracy: 66.79 | Time: 295971.2
Iteration  232 | Accuracy: 66.14 | Time: 296189.2
Iteration  233 | Accuracy: 66.14 | Time: 297721.4
Iteration  234 | Accuracy: 66.14 | Time: 299249.1
Iteration  235 | Accuracy: 66.21 | Time: 299616.1
Iteration  236 | Accuracy: 66.21 | Time: 301177.7
Iteration  237 | Accuracy: 66.21 | Time: 302783.6
Iteration  238 | Accuracy: 66.21 | Time: 304520.8
Iteration  239 | Accuracy: 66.58 | Time: 304807.1
Iteration  240 | Accuracy: 66.58 | Time: 306569.9
Iteration  241 | Accuracy: 66.58 | Time: 308527.9
Iteration  242 | Accuracy: 66.58 | Time: 310241.8
Iteration  243 | Accuracy: 66.58 | Time: 311949.2
Iteration  244 | Accuracy: 66.58 | Time: 313801.9
Iteration  245 | Accuracy: 66.58 | Time: 315501.7
Iteration  246 | Accuracy: 66.58 | Time: 317246.6
Iteration  247 | Accuracy: 66.58 | Time: 318767.1
Iteration  248 | Accuracy: 66.58 | Time: 320297.4
